generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time,single_best_score,single_best_coverage
292,58.4,0.6140000000000001,38.928666666666665,0.4192866666666667,43.8,0.2,58.4,58.4,0.6140000000000001,52.676,0.08000000000000002,9.72,2336.68,65,0.68
293,55.4,0.584,40.416000000000004,0.43416,46.0,0.2,55.4,58.4,0.6140000000000001,53.036000000000016,0.08000000000000002,10.67,2347.38,68,0.71
294,57.2,0.602,38.314,0.41313999999999995,44.7,0.0,57.2,58.4,0.6140000000000001,52.5,0.08000000000000002,10.95,2358.37,68,0.71
295,58.2,0.6119999999999999,38.68933333333333,0.4168933333333334,45.1,0.2,58.2,58.4,0.6140000000000001,52.92000000000001,0.08000000000000002,9.86,2368.27,66,0.69
296,56.8,0.5980000000000001,39.605999999999995,0.42606000000000005,45.9,0.0,56.8,58.4,0.6140000000000001,53.16800000000001,0.08000000000000002,9.85,2378.15,69,0.72
297,60.6,0.636,40.314,0.43314,44.7,0.2,60.6,60.6,0.636,53.01999999999999,0.08000000000000002,10.12,2388.31,69,0.72
298,57.8,0.6080000000000001,40.812000000000005,0.43811999999999995,46.0,0.2,57.8,60.6,0.636,53.73599999999998,0.08000000000000002,9.85,2398.18,66,0.69
299,55.6,0.5860000000000001,40.314666666666675,0.43314666666666674,44.9,0.2,55.6,60.6,0.636,52.88399999999999,0.08000000000000002,10.02,2408.24,67,0.7
300,57.2,0.602,40.99533333333333,0.4399533333333333,45.4,0.4,57.2,60.6,0.636,53.092,0.08000000000000002,9.89,2418.16,67,0.7
301,57.0,0.6,42.312000000000005,0.45312,45.7,0.2,57.0,60.6,0.636,53.328,0.08000000000000002,9.78,2427.97,67,0.7
302,55.8,0.588,41.141333333333336,0.44141333333333327,45.2,0.4,55.8,60.6,0.636,53.096000000000004,0.08000000000000002,9.88,2437.87,65,0.68
